url,class
http://extratorrent.cc/torrent/4191143/Sophie.27.Ans.Femme.De.Menage.2015.La.Banane.Prod.Web.DL.mp4.html,benign
http://otomoto.pl/oferta/kramer-koparko-ladowarka-kramer-515-jcb-case-bardzo-mocna-maszyna-ID5soFPs.html,benign
http://mic.com/articles/107058/here-s-how-the-nyc-subway-system-is-officially-fighting-back-against-man-spreading,benign
http://extratorrent.cc/torrent_download/4190340/Maya.the.Bee.Movie.2014.BRRip.XviD.AC3-EVO.torrent,benign
http://distractify.com/post/related/id/54b985434a0c4b136ee6813d/skip/20/limit/10/back/0,benign
http://variety.com/2015/film/news/aubrey-plaza-mike-and-dave-need-wedding-dates-cast-zac-efron-1201480462/,benign
http://torcache.net/torrent/31A40DA381ACE30FD19AF6DCEF4125D9AA85577C.torrent?title=[kickass.to]fast.furious.7.2015.esub.720p.hdrip.dual.audio.hindi.english.stromsid,benign
http://zozo.jp/shop/axesfemme/?price=proper&p_ssy=2015&p_ssm=5&p_ssd=13&p_sey=2015&p_sem=5&p_sed=13&dstk=2,benign
http://torrentdn.com/bbs/s.php?bo_table=torrent_tv&wr_id=83729&k=%EA%B5%AC%EC%97%AC%EC%B9%9C%ED%81%B4%EB%9F%BD&page=1,benign
http://mirtesen.ru/url?e=simple_click&blog_post_id=43454220417&url=http%3A%2F%2Fs30469371943.mirtesen.ru%2Fblog%2F43454220417%2FLyubil-ya-Vas,benign
http://superuser.com/questions/679790/why-do-my-speakers-not-mute-when-i-plug-in-headphones,benign
http://seesaawiki.jp/pathofexile/d/%a5%de%a5%c3%a5%d7%a1%ca%a5%a2%a5%a4%a5%c6%a5%e0%a1%cb,benign
http://thechive.com/2015/03/30/another-workweek-means-we-all-need-a-healthy-batch-of-flbp-50-photos/,benign
https://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90%E7%BE%8E%E5%B0%91%E5%A5%B3%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2FkmbSJnmB0Kl8Ktei+%E5%8C%97%E4%B9%83%E3%81%8D%E3%81%84%E4%BC%BC%E3%81%AE%E5%AD%90%E3%81%AB%E4%B8%AD%E5%87%BA%E3%81%97+%23ero+%23douga+%23agesage,benign
http://olx.ro/i2/anunturi-agricole/animale-domestice-pasari/iepuri/anunturi-agricole/animale-domestice-pasari/iepuri,benign
http://seekingalpha.com/author/albert-alfonso/research?source=follow_top_learn_more,benign
http://grantland.com/the-triangle/we-went-there-meets-nba-betting-lines-paul-george-omgwtf/,benign
http://olx.ua/uk/list/q-%D1%84%D1%83%D1%82%D0%B1%D0%BE%D0%BB%D0%BA%D0%B0/?search%5Bprivate_business%5D=business,benign
http://extratorrent.cc/torrent_download/4189675/Elle+UK+%E2%80%93+June+2015.torrent,benign
http://nesn.com/2015/05/giancarlo-stantons-467-foot-homer-literally-leaves-dodger-stadium-video/,benign
http://ap.org/Content/Press-Release/2015/APs-paginated-sports-previews-get-new-look-from-GateHouse,benign
http://thechive.com/2015/05/12/a-journey-to-find-a-girl-with-the-rarest-of-syndromes-20-photos/,benign
http://nypost.com/2015/04/07/abcs-world-news-ends-nbcs-nightly-news-ratings-record/,benign
http://mediaset.it/canale5/articoli/il-segreto-le-trame-dal-12-al-17-gennaio_10956.shtml,benign
http://icicibank.com/wealth-management/offers/offer-detail.page?id=offer-mainland-china-20140504120732990,benign
http://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90%E3%82%B3%E3%82%B9%E3%83%97%E3%83%AC%E3%83%BB%E5%88%B6%E6%9C%8D%E7%B3%BB%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2FjTk1RO3Y6X1mwMAq+%E5%A5%B3%E5%AD%90%E6%A0%A1%E7%94%9F%E3%82%B9%E3%83%88%E3%83%BC%E3%82%AB%E3%83%BC%E3%81%AE%E3%83%AC%E3%82%A4%E3%83%97+%23ero+%23douga+%23agesage,benign
http://torcache.net/torrent/F469949A6E28259FA53984269573889161081465.torrent?title=[kickass.to]mad.men.s07e06.hdtv.xvid.fum.ettv,benign
https://hollywoodlife.com/2015/05/13/qaasim-middleton-pitbull-chris-brown-american-idol-finale-performance-season-14-fun/,benign
http://thenextweb.com/apps/2011/02/24/instagram-opens-its-api-for-a-more-connected-and-transparent-world/feed/gtm.start,benign
http://distractify.com/post/related/id/544a76c84a0c4bc03a4864a4/skip/20/limit/10/back/0,benign
http://emgn.com/entertainment/the-most-cringe-worthy-football-dives-you-will-ever-see/,benign
http://slashdot.org/story/14/03/07/2231214/facebook-to-pay-city-200k-a-year-for-a-neighborhood-cop,benign
http://codecanyon.net/item/storekit-woocommerce-for-layers/full_screen_preview/11223808,benign
http://ink361.com/app/users/ig-1513992060/bossvideo/photos/ig-984107133029070486_1513992060,benign
http://kienthuc.net.vn/tuyen-sinh-2015/thi-thpt-quoc-gia-mon-tieng-anh-can-on-luyen-phan-nao-476989.html,benign
http://otomoto.pl/osobowe/ford/mondeo/EW4Hou_aN610rPsocimkJ_IuLBofatBy4b0MLqoh7Lf.B7,benign
http://akhbarelyom.com/news/newdetails/411465/1/%D9%85%D8%AD%D9%84%D8%A8-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D9%87%D8%A7.html,benign
http://deadspin.com/oregon-players-taunt-jameis-winston-with-no-means-no-1677030996,benign
http://persianblog.ir/tags/111/15/%da%a9%d8%a7%d9%85%d9%be%db%8c%d9%88%d8%aa%d8%b1/,benign
http://indianexpress.com/article/entertainment/bollywood/aishwarya-rai-bachchan-to-attend-amfar-gala-at-cannes-2015/,benign
http://nesn.com/2014/08/red-sox-officially-sign-cuban-of-rusney-castillo-to-seven-year-contract/,benign
http://elitedaily.com/life/culture/austism-awareness-im-wearing-blue-boy-cant-talk/987511/,benign
http://extratorrent.cc/torrent/4189288/Sia+%E2%80%93+1000+Forms+of+Fear+%28Deluxe+Version%29+%282015%29+%5BiTunes+Plus+AAC+M4A%5D%7E%7ESM.html,benign
http://distractify.com/post/related/id/55395ec44a0c4b3366c842d5/skip/40/limit/10/back/0,benign
